Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for windows-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:39:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16644816k(3574404k free), swap 41039712k(11202652k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266317056 -XX:+ManagementServer -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
3.099: [GC (Allocation Failure) [PSYoungGen: 65024K->8580K(75776K)] 65024K->8596K(249344K), 0.0131430 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
3.916: [GC (Metadata GC Threshold) [PSYoungGen: 73475K->10736K(75776K)] 73491K->11001K(249344K), 0.0109275 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
3.927: [Full GC (Metadata GC Threshold) [PSYoungGen: 10736K->0K(75776K)] [ParOldGen: 264K->10581K(111616K)] 11001K->10581K(187392K), [Metaspace: 20301K->20299K(1067008K)], 0.0397799 secs] [Times: user=0.19 sys=0.02, real=0.04 secs] 
4.749: [GC (Allocation Failure) [PSYoungGen: 65024K->8255K(75776K)] 75605K->18844K(187392K), 0.0054650 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
4.875: [GC (Allocation Failure) [PSYoungGen: 73279K->4596K(104448K)] 83868K->15193K(216064K), 0.0048701 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.911: [GC (Allocation Failure) [PSYoungGen: 98292K->4116K(104448K)] 108889K->14713K(216064K), 0.0044474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.939: [GC (Allocation Failure) [PSYoungGen: 97812K->4084K(157696K)] 108409K->14689K(269312K), 0.0035526 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.994: [GC (Allocation Failure) [PSYoungGen: 148980K->4116K(157696K)] 159585K->14721K(269312K), 0.0036876 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
5.033: [GC (Allocation Failure) [PSYoungGen: 149012K->32K(156672K)] 159617K->14681K(268288K), 0.0035146 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.070: [GC (Allocation Failure) [PSYoungGen: 143904K->0K(157184K)] 158553K->14681K(268800K), 0.0013431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.106: [GC (Allocation Failure) [PSYoungGen: 143872K->0K(157184K)] 158553K->14681K(268800K), 0.0012317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.143: [GC (Allocation Failure) [PSYoungGen: 143872K->32K(157184K)] 158553K->14713K(268800K), 0.0014358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.183: [GC (Allocation Failure) [PSYoungGen: 143904K->64K(157184K)] 158585K->14745K(268800K), 0.0012101 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
5.219: [GC (Allocation Failure) [PSYoungGen: 143936K->0K(144384K)] 158617K->14681K(256000K), 0.0011720 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.259: [GC (Allocation Failure) [PSYoungGen: 143872K->256K(157184K)] 158553K->14945K(268800K), 0.0014093 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.295: [GC (Allocation Failure) [PSYoungGen: 144640K->0K(156672K)] 159329K->14745K(268288K), 0.0014726 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.333: [GC (Allocation Failure) [PSYoungGen: 144384K->0K(157184K)] 159129K->14745K(268800K), 0.0012298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.371: [GC (Allocation Failure) [PSYoungGen: 145408K->0K(157184K)] 160153K->14745K(268800K), 0.0015222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.409: [GC (Allocation Failure) [PSYoungGen: 145408K->0K(158208K)] 160153K->14745K(269824K), 0.0014435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.451: [GC (Allocation Failure) [PSYoungGen: 147456K->0K(158208K)] 162201K->14745K(269824K), 0.0015164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.491: [GC (Allocation Failure) [PSYoungGen: 147456K->0K(159232K)] 162201K->14745K(270848K), 0.0014908 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.533: [GC (Allocation Failure) [PSYoungGen: 149504K->0K(159232K)] 164249K->14745K(270848K), 0.0015418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.574: [GC (Allocation Failure) [PSYoungGen: 149504K->0K(160256K)] 164249K->14745K(271872K), 0.0014814 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.616: [GC (Allocation Failure) [PSYoungGen: 151552K->64K(160256K)] 166297K->14809K(271872K), 0.0012756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
